"Player","Games","W","L","Win %","K","D","A","KDA","GPM","XPM","LH","DN","LVL","HD","TD","HH","GS"
"Fy","30","20","10","0.6666666667","5.066666666666666","6.166666666666667","17.533333333333335","4.802813852813853","349.46666666666664","495.1","85.4","3.2666666666666666","20.5","16255.566666666668","742.0333333333333","3198.0666666666666","11373.666666666668"
"Ame","30","20","10","0.6666666667","8.633333333333333","4.633333333333333","11","6.113161375661376","605.5333333333333","620.0666666666667","325.3666666666667","13.533333333333333","22.7","22043.833333333332","4978.333333333333","37","21489.333333333332"
"Somnus丶M","30","20","10","0.6666666667","9.833333333333334","4.433333333333334","10.933333333333334","8.543766788766789","605.0333333333333","639.3333333333334","314.53333333333336","12.6","23.066666666666666","25853.8","3478.6","144.56666666666666","20747"
"Chalice","30","20","10","0.6666666667","7.366666666666667","5.2","13.266666666666667","6.166269841269841","451.6666666666667","527.1333333333333","199.46666666666667","10.166666666666666","21.033333333333335","20925.9","3445.866666666667","1220.3666666666666","15498.166666666668"
"XNova","30","20","10","0.6666666667","2.8666666666666667","7.066666666666666","14.7","3.09742155992156","285.26666666666665","357.46666666666664","54.266666666666666","2.066666666666667","17.333333333333332","9664.1","307.96666666666664","773.1333333333333","10286.166666666666"
"Ceb","29","18","11","0.6206896552","5.448275862068965","5.586206896551724","13.758620689655173","4.9361795292829775","444.62068965517244","496.58620689655174","207.6551724137931","9.344827586206897","20.448275862068964","19520.03448275862","2016.7241379310344","1815.5862068965516","15350.862068965516"
"Topson","29","18","11","0.6206896552","7.9655172413793105","7.275862068965517","11.137931034482758","3.3084329463639808","516.4137931034483","556.1724137931035","244.31034482758622","13.620689655172415","21.517241379310345","28078.689655172413","2905.2758620689656","242.0344827586207","17290.51724137931"
"Ana","29","18","11","0.6206896552","8.96551724137931","6.344827586206897","11.862068965517242","4.667930536896054","565.2068965517242","563.9310344827586","297.86206896551727","8.241379310344827","21.482758620689655","29264.758620689656","4607.586206896552","61.10344827586207","20361.03448275862"
"N0tail","29","18","11","0.6206896552","3.7241379310344827","9.551724137931034","14.758620689655173","2.7320853053865224","300.44827586206895","334.37931034482756","65.65517241379311","4.0344827586206895","17","11877.758620689656","915.4827586206897","2345.448275862069","10691.034482758621"
"JerAx","29","18","11","0.6206896552","3.896551724137931","6.655172413793103","14.793103448275863","3.745669847393985","327.9310344827586","441.6896551724138","77.34482758620689","2.2413793103448274","19.344827586206897","11937.931034482759","467.13793103448273","3591.310344827586","11161.551724137931"
